drug_name,generic_name,category,dosage_form,color,shape,indication,manufacturer,strength,text_description,description,drug_name_ar,generic_name_ar,drug_class_ar,dosage_form_ar,color_ar,shape_ar,indications_ar,rx_otc_status_en,side_effects_en,side_effects_ar,contraindications_en,contraindications_ar
Vibramycin,Doxycycline,Tetracycline Antibiotic,Capsule,Blue/White,Capsule,Acne; Respiratory infections; Malaria prophylaxis; Chlamydia; Lyme disease,Pfizer,100 mg,vibramycin generic doxycycline form capsule class tetracycline antibiotic indication acne; respiratory infections; malaria prophylaxis; chlamydia; lyme disease color blue/white shape capsule doxycycline hyclate 100 mg photosensitivity; nausea; esophageal irritation; diarrhea children <8 years; pregnancy; breastfeeding; severe hepatic impairment فايبراميسين دوكسيسايكلين كبسولة مضاد حيوي تتراسايكلين حب الشباب؛ عدوى تنفسية؛ الوقاية من الملاريا؛ الكلاميديا؛ مرض لايم أزرق/أبيض كبسولة حساسية للضوء؛ غثيان؛ تهيج المريء؛ إسهال الأطفال أقل من 8 سنوات؛ الحمل؛ الرضاعة؛ قصور كبدي شديد,vibramycin generic doxycycline form capsule class tetracycline antibiotic indication acne; respiratory infections; malaria prophylaxis; chlamydia; lyme disease color blue/white shape capsule doxycycline hyclate 100 mg photosensitivity; nausea; esophageal irritation; diarrhea children <8 years; pregnancy; breastfeeding; severe hepatic impairment فايبراميسين دوكسيسايكلين كبسولة مضاد حيوي تتراسايكلين حب الشباب؛ عدوى تنفسية؛ الوقاية من الملاريا؛ الكلاميديا؛ مرض لايم أزرق/أبيض كبسولة حساسية للضوء؛ غثيان؛ تهيج المريء؛ إسهال الأطفال أقل من 8 سنوات؛ الحمل؛ الرضاعة؛ قصور كبدي شديد,فايبراميسين,دوكسيسايكلين,مضاد حيوي تتراسايكلين,كبسولة,أزرق/أبيض,كبسولة,حب الشباب؛ عدوى تنفسية؛ الوقاية من الملاريا؛ الكلاميديا؛ مرض لايم,Prescription,Photosensitivity; Nausea; Esophageal irritation; Diarrhea,حساسية للضوء؛ غثيان؛ تهيج المريء؛ إسهال,Children <8 years; Pregnancy; Breastfeeding; Severe hepatic impairment,الأطفال أقل من 8 سنوات؛ الحمل؛ الرضاعة؛ قصور كبدي شديد
Bactrim,Trimethoprim/Sulfamethoxazole,Sulfonamide + Trimethoprim,Tablet,White,Oval,Urinary tract infections; Respiratory infections; PCP prophylaxis,Roche,160/800 mg,bactrim generic trimethoprim/sulfamethoxazole form tablet class sulfonamide + trimethoprim indication urinary tract infections; respiratory infections; pcp prophylaxis color white shape oval tmp 160 mg / smx 800 mg nausea; rash; photosensitivity; blood dyscrasias (rare); hyperkalemia sulfonamide allergy; severe hepatic/renal impairment; pregnancy (third trimester); g6pd deficiency باكتريم تريميثوبريم/سلفاميثوكسازول قرص سلفوناميد + تريميثوبريم عدوى المسالك البولية؛ عدوى تنفسية؛ الوقاية من الالتهاب الرئوي أبيض بيضاوي غثيان؛ طفح جلدي؛ حساسية للضوء؛ اضطرابات الدم (نادرة)؛ فرط بوتاسيوم الدم حساسية السلفوناميد؛ قصور كبدي/كلوي شديد؛ الحمل (الثلث الأخير)؛ نقص G6PD,bactrim generic trimethoprim/sulfamethoxazole form tablet class sulfonamide + trimethoprim indication urinary tract infections; respiratory infections; pcp prophylaxis color white shape oval tmp 160 mg / smx 800 mg nausea; rash; photosensitivity; blood dyscrasias (rare); hyperkalemia sulfonamide allergy; severe hepatic/renal impairment; pregnancy (third trimester); g6pd deficiency باكتريم تريميثوبريم/سلفاميثوكسازول قرص سلفوناميد + تريميثوبريم عدوى المسالك البولية؛ عدوى تنفسية؛ الوقاية من الالتهاب الرئوي أبيض بيضاوي غثيان؛ طفح جلدي؛ حساسية للضوء؛ اضطرابات الدم (نادرة)؛ فرط بوتاسيوم الدم حساسية السلفوناميد؛ قصور كبدي/كلوي شديد؛ الحمل (الثلث الأخير)؛ نقص G6PD,باكتريم,تريميثوبريم/سلفاميثوكسازول,سلفوناميد + تريميثوبريم,قرص,أبيض,بيضاوي,عدوى المسالك البولية؛ عدوى تنفسية؛ الوقاية من الالتهاب الرئوي,Prescription,Nausea; Rash; Photosensitivity; Blood dyscrasias (rare); Hyperkalemia,غثيان؛ طفح جلدي؛ حساسية للضوء؛ اضطرابات الدم (نادرة)؛ فرط بوتاسيوم الدم,Sulfonamide allergy; Severe hepatic/renal impairment; Pregnancy (third trimester); G6PD deficiency,حساسية السلفوناميد؛ قصور كبدي/كلوي شديد؛ الحمل (الثلث الأخير)؛ نقص G6PD
Rocephin,Ceftriaxone,Cephalosporin (3rd Generation),Injection,White powder,Vial,Severe bacterial infections; Meningitis; Gonorrhea; Surgical prophylaxis,Roche,1 g (IV/IM),rocephin generic ceftriaxone form injection class cephalosporin (3rd generation) indication severe bacterial infections; meningitis; gonorrhea; surgical prophylaxis color white powder shape vial ceftriaxone sodium 1 g diarrhea; rash; injection site pain; biliary sludge cephalosporin allergy; neonates with hyperbilirubinemia; concurrent iv calcium in neonates روسيفين سيفترياكسون حقن سيفالوسبورين (الجيل الثالث) عدوى بكتيرية شديدة؛ التهاب السحايا؛ السيلان؛ الوقاية الجراحية مسحوق أبيض قارورة إسهال؛ طفح جلدي؛ ألم موضع الحقن؛ حمأة صفراوية حساسية السيفالوسبورين؛ حديثو الولادة مع فرط البيليروبين؛ الكالسيوم الوريدي المتزامن عند الرضع,rocephin generic ceftriaxone form injection class cephalosporin (3rd generation) indication severe bacterial infections; meningitis; gonorrhea; surgical prophylaxis color white powder shape vial ceftriaxone sodium 1 g diarrhea; rash; injection site pain; biliary sludge cephalosporin allergy; neonates with hyperbilirubinemia; concurrent iv calcium in neonates روسيفين سيفترياكسون حقن سيفالوسبورين (الجيل الثالث) عدوى بكتيرية شديدة؛ التهاب السحايا؛ السيلان؛ الوقاية الجراحية مسحوق أبيض قارورة إسهال؛ طفح جلدي؛ ألم موضع الحقن؛ حمأة صفراوية حساسية السيفالوسبورين؛ حديثو الولادة مع فرط البيليروبين؛ الكالسيوم الوريدي المتزامن عند الرضع,روسيفين,سيفترياكسون,سيفالوسبورين (الجيل الثالث),حقن,مسحوق أبيض,قارورة,عدوى بكتيرية شديدة؛ التهاب السحايا؛ السيلان؛ الوقاية الجراحية,Prescription,Diarrhea; Rash; Injection site pain; Biliary sludge,إسهال؛ طفح جلدي؛ ألم موضع الحقن؛ حمأة صفراوية,Cephalosporin allergy; Neonates with hyperbilirubinemia; Concurrent IV calcium in neonates,حساسية السيفالوسبورين؛ حديثو الولادة مع فرط البيليروبين؛ الكالسيوم الوريدي المتزامن عند الرضع
Dalacin C,Clindamycin,Lincosamide Antibiotic,Capsule,Purple/White,Capsule,Bone infections; Skin infections; Dental infections; Pelvic infections,Pfizer,300 mg,dalacin c generic clindamycin form capsule class lincosamide antibiotic indication bone infections; skin infections; dental infections; pelvic infections color purple/white shape capsule clindamycin hcl 300 mg diarrhea; c. difficile colitis; nausea; rash; abdominal pain clindamycin/lincomycin allergy; history of c. difficile colitis دالاسين سي كلينداميسين كبسولة مضاد حيوي لينكوسامايد عدوى العظام؛ عدوى الجلد؛ عدوى الأسنان؛ عدوى الحوض بنفسجي/أبيض كبسولة إسهال؛ التهاب القولون بالمطثية العسيرة؛ غثيان؛ طفح جلدي؛ ألم البطن حساسية الكلينداميسين/لينكومايسين؛ تاريخ التهاب القولون بالمطثية العسيرة,dalacin c generic clindamycin form capsule class lincosamide antibiotic indication bone infections; skin infections; dental infections; pelvic infections color purple/white shape capsule clindamycin hcl 300 mg diarrhea; c. difficile colitis; nausea; rash; abdominal pain clindamycin/lincomycin allergy; history of c. difficile colitis دالاسين سي كلينداميسين كبسولة مضاد حيوي لينكوسامايد عدوى العظام؛ عدوى الجلد؛ عدوى الأسنان؛ عدوى الحوض بنفسجي/أبيض كبسولة إسهال؛ التهاب القولون بالمطثية العسيرة؛ غثيان؛ طفح جلدي؛ ألم البطن حساسية الكلينداميسين/لينكومايسين؛ تاريخ التهاب القولون بالمطثية العسيرة,دالاسين سي,كلينداميسين,مضاد حيوي لينكوسامايد,كبسولة,بنفسجي/أبيض,كبسولة,عدوى العظام؛ عدوى الجلد؛ عدوى الأسنان؛ عدوى الحوض,Prescription,Diarrhea; C. difficile colitis; Nausea; Rash; Abdominal pain,إسهال؛ التهاب القولون بالمطثية العسيرة؛ غثيان؛ طفح جلدي؛ ألم البطن,Clindamycin/lincomycin allergy; History of C. difficile colitis,حساسية الكلينداميسين/لينكومايسين؛ تاريخ التهاب القولون بالمطثية العسيرة
Amoxicillin Suspension,Amoxicillin,Penicillin,Suspension,Pink liquid,Bottle,Bacterial infections in children: respiratory; ear; urinary,Various,250 mg/5 mL,amoxicillin suspension generic amoxicillin form suspension class penicillin indication bacterial infections in children: respiratory; ear; urinary color pink liquid shape bottle amoxicillin 250 mg/5 ml diarrhea; nausea; rash; allergic reactions penicillin allergy; infectious mononucleosis أموكسيسيللين معلق أموكسيسيللين معلق بنسلين عدوى بكتيرية عند الأطفال: تنفسية؛ الأذن؛ بولية سائل وردي زجاجة إسهال؛ غثيان؛ طفح جلدي؛ تفاعلات تحسسية حساسية البنسلين؛ داء كثرة الوحيدات العدوائية,amoxicillin suspension generic amoxicillin form suspension class penicillin indication bacterial infections in children: respiratory; ear; urinary color pink liquid shape bottle amoxicillin 250 mg/5 ml diarrhea; nausea; rash; allergic reactions penicillin allergy; infectious mononucleosis أموكسيسيللين معلق أموكسيسيللين معلق بنسلين عدوى بكتيرية عند الأطفال: تنفسية؛ الأذن؛ بولية سائل وردي زجاجة إسهال؛ غثيان؛ طفح جلدي؛ تفاعلات تحسسية حساسية البنسلين؛ داء كثرة الوحيدات العدوائية,أموكسيسيللين معلق,أموكسيسيللين,بنسلين,معلق,سائل وردي,زجاجة,عدوى بكتيرية عند الأطفال: تنفسية؛ الأذن؛ بولية,Prescription,Diarrhea; Nausea; Rash; Allergic reactions,إسهال؛ غثيان؛ طفح جلدي؛ تفاعلات تحسسية,Penicillin allergy; Infectious mononucleosis,حساسية البنسلين؛ داء كثرة الوحيدات العدوائية
Ceclor,Cefaclor,Cephalosporin (2nd Generation),Capsule,Purple,Capsule,Respiratory infections; Urinary tract infections; Skin infections; Otitis media,Eli Lilly,500 mg,ceclor generic cefaclor form capsule class cephalosporin (2nd generation) indication respiratory infections; urinary tract infections; skin infections; otitis media color purple shape capsule cefaclor 500 mg diarrhea; nausea; serum sickness-like reaction (rare); rash cephalosporin allergy سيكلور سيفاكلور كبسولة سيفالوسبورين (الجيل الثاني) عدوى تنفسية؛ عدوى المسالك البولية؛ عدوى الجلد؛ التهاب الأذن الوسطى بنفسجي كبسولة إسهال؛ غثيان؛ تفاعل شبيه بداء المصل (نادر)؛ طفح جلدي حساسية السيفالوسبورين,ceclor generic cefaclor form capsule class cephalosporin (2nd generation) indication respiratory infections; urinary tract infections; skin infections; otitis media color purple shape capsule cefaclor 500 mg diarrhea; nausea; serum sickness-like reaction (rare); rash cephalosporin allergy سيكلور سيفاكلور كبسولة سيفالوسبورين (الجيل الثاني) عدوى تنفسية؛ عدوى المسالك البولية؛ عدوى الجلد؛ التهاب الأذن الوسطى بنفسجي كبسولة إسهال؛ غثيان؛ تفاعل شبيه بداء المصل (نادر)؛ طفح جلدي حساسية السيفالوسبورين,سيكلور,سيفاكلور,سيفالوسبورين (الجيل الثاني),كبسولة,بنفسجي,كبسولة,عدوى تنفسية؛ عدوى المسالك البولية؛ عدوى الجلد؛ التهاب الأذن الوسطى,Prescription,Diarrhea; Nausea; Serum sickness-like reaction (rare); Rash,إسهال؛ غثيان؛ تفاعل شبيه بداء المصل (نادر)؛ طفح جلدي,Cephalosporin allergy,حساسية السيفالوسبورين
Diflucan,Fluconazole,Azole Antifungal,Capsule,Blue/White,Capsule,"Candidiasis (vaginal, oral, systemic); Cryptococcal meningitis",Pfizer,150 mg,"diflucan generic fluconazole form capsule class azole antifungal indication candidiasis (vaginal, oral, systemic); cryptococcal meningitis color blue/white shape capsule fluconazole 150 mg nausea; headache; abdominal pain; diarrhea; hepatotoxicity (rare) concurrent terfenadine (high dose fluconazole); severe hepatic impairment ديفلوكان فلوكونازول كبسولة مضاد فطري أزولي داء المبيضات (المهبلي، الفموي، الجهازي)؛ التهاب السحايا بالمكورات الخفية أزرق/أبيض كبسولة غثيان؛ صداع؛ ألم البطن؛ إسهال؛ سمية كبدية (نادرة) الاستخدام المتزامن مع تيرفينادين (جرعة فلوكونازول العالية)؛ قصور كبدي شديد","diflucan generic fluconazole form capsule class azole antifungal indication candidiasis (vaginal, oral, systemic); cryptococcal meningitis color blue/white shape capsule fluconazole 150 mg nausea; headache; abdominal pain; diarrhea; hepatotoxicity (rare) concurrent terfenadine (high dose fluconazole); severe hepatic impairment ديفلوكان فلوكونازول كبسولة مضاد فطري أزولي داء المبيضات (المهبلي، الفموي، الجهازي)؛ التهاب السحايا بالمكورات الخفية أزرق/أبيض كبسولة غثيان؛ صداع؛ ألم البطن؛ إسهال؛ سمية كبدية (نادرة) الاستخدام المتزامن مع تيرفينادين (جرعة فلوكونازول العالية)؛ قصور كبدي شديد",ديفلوكان,فلوكونازول,مضاد فطري أزولي,كبسولة,أزرق/أبيض,كبسولة,داء المبيضات (المهبلي، الفموي، الجهازي)؛ التهاب السحايا بالمكورات الخفية,Prescription,Nausea; Headache; Abdominal pain; Diarrhea; Hepatotoxicity (rare),غثيان؛ صداع؛ ألم البطن؛ إسهال؛ سمية كبدية (نادرة),Concurrent terfenadine (high dose fluconazole); Severe hepatic impairment,الاستخدام المتزامن مع تيرفينادين (جرعة فلوكونازول العالية)؛ قصور كبدي شديد
Cefazolin,Cefazolin,Cephalosporin (1st Generation),Injection,White powder,Vial,Surgical prophylaxis; Skin infections; Bone infections; Endocarditis,Various,1 g (IV/IM),cefazolin generic cefazolin form injection class cephalosporin (1st generation) indication surgical prophylaxis; skin infections; bone infections; endocarditis color white powder shape vial cefazolin sodium 1 g injection site pain; rash; diarrhea; nausea cephalosporin allergy سيفازولين سيفازولين حقن سيفالوسبورين (الجيل الأول) الوقاية الجراحية؛ عدوى الجلد؛ عدوى العظام؛ التهاب الشغاف مسحوق أبيض قارورة ألم موضع الحقن؛ طفح جلدي؛ إسهال؛ غثيان حساسية السيفالوسبورين,cefazolin generic cefazolin form injection class cephalosporin (1st generation) indication surgical prophylaxis; skin infections; bone infections; endocarditis color white powder shape vial cefazolin sodium 1 g injection site pain; rash; diarrhea; nausea cephalosporin allergy سيفازولين سيفازولين حقن سيفالوسبورين (الجيل الأول) الوقاية الجراحية؛ عدوى الجلد؛ عدوى العظام؛ التهاب الشغاف مسحوق أبيض قارورة ألم موضع الحقن؛ طفح جلدي؛ إسهال؛ غثيان حساسية السيفالوسبورين,سيفازولين,سيفازولين,سيفالوسبورين (الجيل الأول),حقن,مسحوق أبيض,قارورة,الوقاية الجراحية؛ عدوى الجلد؛ عدوى العظام؛ التهاب الشغاف,Prescription,Injection site pain; Rash; Diarrhea; Nausea,ألم موضع الحقن؛ طفح جلدي؛ إسهال؛ غثيان,Cephalosporin allergy,حساسية السيفالوسبورين
Tienam,Imipenem/Cilastatin,Carbapenem Antibiotic,Injection,White powder,Vial,Severe hospital-acquired infections; Polymicrobial infections; Intra-abdominal infections,MSD,500/500 mg (IV),tienam generic imipenem/cilastatin form injection class carbapenem antibiotic indication severe hospital-acquired infections; polymicrobial infections; intra-abdominal infections color white powder shape vial imipenem 500 mg / cilastatin 500 mg nausea; diarrhea; seizures (rare); injection site reactions; rash carbapenem allergy; cns disorders (increased seizure risk) تينام إيميبينيم/سيلاستاتين حقن مضاد حيوي كاربابينيم عدوى شديدة مكتسبة بالمستشفى؛ عدوى متعددة الميكروبات؛ عدوى داخل البطن مسحوق أبيض قارورة غثيان؛ إسهال؛ نوبات صرع (نادرة)؛ تفاعلات موضع الحقن؛ طفح جلدي حساسية الكاربابينيم؛ اضطرابات الجهاز العصبي المركزي (زيادة خطر النوبات),tienam generic imipenem/cilastatin form injection class carbapenem antibiotic indication severe hospital-acquired infections; polymicrobial infections; intra-abdominal infections color white powder shape vial imipenem 500 mg / cilastatin 500 mg nausea; diarrhea; seizures (rare); injection site reactions; rash carbapenem allergy; cns disorders (increased seizure risk) تينام إيميبينيم/سيلاستاتين حقن مضاد حيوي كاربابينيم عدوى شديدة مكتسبة بالمستشفى؛ عدوى متعددة الميكروبات؛ عدوى داخل البطن مسحوق أبيض قارورة غثيان؛ إسهال؛ نوبات صرع (نادرة)؛ تفاعلات موضع الحقن؛ طفح جلدي حساسية الكاربابينيم؛ اضطرابات الجهاز العصبي المركزي (زيادة خطر النوبات),تينام,إيميبينيم/سيلاستاتين,مضاد حيوي كاربابينيم,حقن,مسحوق أبيض,قارورة,عدوى شديدة مكتسبة بالمستشفى؛ عدوى متعددة الميكروبات؛ عدوى داخل البطن,Prescription,Nausea; Diarrhea; Seizures (rare); Injection site reactions; Rash,غثيان؛ إسهال؛ نوبات صرع (نادرة)؛ تفاعلات موضع الحقن؛ طفح جلدي,Carbapenem allergy; CNS disorders (increased seizure risk),حساسية الكاربابينيم؛ اضطرابات الجهاز العصبي المركزي (زيادة خطر النوبات)
Vancomycin,Vancomycin,Glycopeptide Antibiotic,Injection,White powder,Vial,MRSA infections; C. difficile (oral); Endocarditis; Meningitis,Various,1 g (IV),vancomycin generic vancomycin form injection class glycopeptide antibiotic indication mrsa infections; c. difficile (oral); endocarditis; meningitis color white powder shape vial vancomycin hcl 1 g red man syndrome; nephrotoxicity; ototoxicity; phlebitis; neutropenia vancomycin allergy; hearing loss (relative) فانكومايسين فانكومايسين حقن مضاد حيوي غليكوببتيد عدوى MRSA؛ المطثية العسيرة (فموي)؛ التهاب الشغاف؛ التهاب السحايا مسحوق أبيض قارورة متلازمة الرجل الأحمر؛ سمية كلوية؛ سمية أذنية؛ التهاب الوريد؛ قلة العدلات حساسية الفانكومايسين؛ فقدان السمع (نسبي),vancomycin generic vancomycin form injection class glycopeptide antibiotic indication mrsa infections; c. difficile (oral); endocarditis; meningitis color white powder shape vial vancomycin hcl 1 g red man syndrome; nephrotoxicity; ototoxicity; phlebitis; neutropenia vancomycin allergy; hearing loss (relative) فانكومايسين فانكومايسين حقن مضاد حيوي غليكوببتيد عدوى MRSA؛ المطثية العسيرة (فموي)؛ التهاب الشغاف؛ التهاب السحايا مسحوق أبيض قارورة متلازمة الرجل الأحمر؛ سمية كلوية؛ سمية أذنية؛ التهاب الوريد؛ قلة العدلات حساسية الفانكومايسين؛ فقدان السمع (نسبي),فانكومايسين,فانكومايسين,مضاد حيوي غليكوببتيد,حقن,مسحوق أبيض,قارورة,عدوى MRSA؛ المطثية العسيرة (فموي)؛ التهاب الشغاف؛ التهاب السحايا,Prescription,Red man syndrome; Nephrotoxicity; Ototoxicity; Phlebitis; Neutropenia,متلازمة الرجل الأحمر؛ سمية كلوية؛ سمية أذنية؛ التهاب الوريد؛ قلة العدلات,Vancomycin allergy; Hearing loss (relative),حساسية الفانكومايسين؛ فقدان السمع (نسبي)
Nitrofurantoin,Nitrofurantoin,Nitrofuran Antibiotic,Capsule,Yellow/Black,Capsule,Urinary tract infections (uncomplicated); UTI prophylaxis,Various,100 mg,nitrofurantoin generic nitrofurantoin form capsule class nitrofuran antibiotic indication urinary tract infections (uncomplicated); uti prophylaxis color yellow/black shape capsule nitrofurantoin 100 mg nausea; headache; flatulence; pulmonary toxicity (chronic use) severe renal impairment (crcl <30); g6pd deficiency; pregnancy (term); neonates نيتروفورانتوين نيتروفورانتوين كبسولة مضاد حيوي نيتروفوران عدوى المسالك البولية (غير معقدة)؛ الوقاية من عدوى المسالك البولية أصفر/أسود كبسولة غثيان؛ صداع؛ انتفاخ؛ سمية رئوية (استخدام مزمن) قصور كلوي شديد؛ نقص G6PD؛ الحمل (نهاية)؛ حديثو الولادة,nitrofurantoin generic nitrofurantoin form capsule class nitrofuran antibiotic indication urinary tract infections (uncomplicated); uti prophylaxis color yellow/black shape capsule nitrofurantoin 100 mg nausea; headache; flatulence; pulmonary toxicity (chronic use) severe renal impairment (crcl <30); g6pd deficiency; pregnancy (term); neonates نيتروفورانتوين نيتروفورانتوين كبسولة مضاد حيوي نيتروفوران عدوى المسالك البولية (غير معقدة)؛ الوقاية من عدوى المسالك البولية أصفر/أسود كبسولة غثيان؛ صداع؛ انتفاخ؛ سمية رئوية (استخدام مزمن) قصور كلوي شديد؛ نقص G6PD؛ الحمل (نهاية)؛ حديثو الولادة,نيتروفورانتوين,نيتروفورانتوين,مضاد حيوي نيتروفوران,كبسولة,أصفر/أسود,كبسولة,عدوى المسالك البولية (غير معقدة)؛ الوقاية من عدوى المسالك البولية,Prescription,Nausea; Headache; Flatulence; Pulmonary toxicity (chronic use),غثيان؛ صداع؛ انتفاخ؛ سمية رئوية (استخدام مزمن),Severe renal impairment (CrCl <30); G6PD deficiency; Pregnancy (term); Neonates,قصور كلوي شديد؛ نقص G6PD؛ الحمل (نهاية)؛ حديثو الولادة
Meropenem,Meropenem,Carbapenem Antibiotic,Injection,White powder,Vial,Severe hospital-acquired infections; Meningitis; Febrile neutropenia,AstraZeneca,1 g (IV),meropenem generic meropenem form injection class carbapenem antibiotic indication severe hospital-acquired infections; meningitis; febrile neutropenia color white powder shape vial meropenem trihydrate 1 g nausea; diarrhea; headache; rash; injection site reactions carbapenem allergy ميروبينيم ميروبينيم حقن مضاد حيوي كاربابينيم عدوى شديدة مكتسبة بالمستشفى؛ التهاب السحايا؛ الحمى مع قلة العدلات مسحوق أبيض قارورة غثيان؛ إسهال؛ صداع؛ طفح جلدي؛ تفاعلات موضع الحقن حساسية الكاربابينيم,meropenem generic meropenem form injection class carbapenem antibiotic indication severe hospital-acquired infections; meningitis; febrile neutropenia color white powder shape vial meropenem trihydrate 1 g nausea; diarrhea; headache; rash; injection site reactions carbapenem allergy ميروبينيم ميروبينيم حقن مضاد حيوي كاربابينيم عدوى شديدة مكتسبة بالمستشفى؛ التهاب السحايا؛ الحمى مع قلة العدلات مسحوق أبيض قارورة غثيان؛ إسهال؛ صداع؛ طفح جلدي؛ تفاعلات موضع الحقن حساسية الكاربابينيم,ميروبينيم,ميروبينيم,مضاد حيوي كاربابينيم,حقن,مسحوق أبيض,قارورة,عدوى شديدة مكتسبة بالمستشفى؛ التهاب السحايا؛ الحمى مع قلة العدلات,Prescription,Nausea; Diarrhea; Headache; Rash; Injection site reactions,غثيان؛ إسهال؛ صداع؛ طفح جلدي؛ تفاعلات موضع الحقن,Carbapenem allergy,حساسية الكاربابينيم
Amikacin,Amikacin,Aminoglycoside Antibiotic,Injection,Clear liquid,Ampoule,Severe Gram-negative infections; Tuberculosis (second-line),Various,500 mg/2 mL,amikacin generic amikacin form injection class aminoglycoside antibiotic indication severe gram-negative infections; tuberculosis (second-line) color clear liquid shape ampoule amikacin sulfate 500 mg/2 ml nephrotoxicity; ototoxicity; neuromuscular blockade (rare) aminoglycoside allergy; myasthenia gravis أميكاسين أميكاسين حقن مضاد حيوي أمينوغليكوسيد عدوى سلبية الغرام الشديدة؛ السل (خط ثاني) سائل شفاف أمبولة سمية كلوية؛ سمية أذنية؛ إحصار عصبي عضلي (نادر) حساسية الأمينوغليكوسيد؛ الوهن العضلي الوبيل,amikacin generic amikacin form injection class aminoglycoside antibiotic indication severe gram-negative infections; tuberculosis (second-line) color clear liquid shape ampoule amikacin sulfate 500 mg/2 ml nephrotoxicity; ototoxicity; neuromuscular blockade (rare) aminoglycoside allergy; myasthenia gravis أميكاسين أميكاسين حقن مضاد حيوي أمينوغليكوسيد عدوى سلبية الغرام الشديدة؛ السل (خط ثاني) سائل شفاف أمبولة سمية كلوية؛ سمية أذنية؛ إحصار عصبي عضلي (نادر) حساسية الأمينوغليكوسيد؛ الوهن العضلي الوبيل,أميكاسين,أميكاسين,مضاد حيوي أمينوغليكوسيد,حقن,سائل شفاف,أمبولة,عدوى سلبية الغرام الشديدة؛ السل (خط ثاني),Prescription,Nephrotoxicity; Ototoxicity; Neuromuscular blockade (rare),سمية كلوية؛ سمية أذنية؛ إحصار عصبي عضلي (نادر),Aminoglycoside allergy; Myasthenia gravis,حساسية الأمينوغليكوسيد؛ الوهن العضلي الوبيل
Linezolid,Linezolid,Oxazolidinone Antibiotic,Tablet,White,Oval,MRSA infections; VRE infections; Nosocomial pneumonia,Pfizer,600 mg,linezolid generic linezolid form tablet class oxazolidinone antibiotic indication mrsa infections; vre infections; nosocomial pneumonia color white shape oval linezolid 600 mg thrombocytopenia; nausea; diarrhea; headache; optic neuropathy (prolonged use) concurrent maois; uncontrolled hypertension; pheochromocytoma; carcinoid syndrome لينيزوليد لينيزوليد قرص مضاد حيوي أوكسازوليدينون عدوى MRSA؛ عدوى VRE؛ الالتهاب الرئوي المكتسب بالمستشفى أبيض بيضاوي قلة الصفيحات؛ غثيان؛ إسهال؛ صداع؛ اعتلال العصب البصري (استخدام مطول) الاستخدام المتزامن لمثبطات MAO؛ ارتفاع ضغط الدم غير المسيطر عليه؛ ورم القواتم؛ متلازمة الكارسينويد,linezolid generic linezolid form tablet class oxazolidinone antibiotic indication mrsa infections; vre infections; nosocomial pneumonia color white shape oval linezolid 600 mg thrombocytopenia; nausea; diarrhea; headache; optic neuropathy (prolonged use) concurrent maois; uncontrolled hypertension; pheochromocytoma; carcinoid syndrome لينيزوليد لينيزوليد قرص مضاد حيوي أوكسازوليدينون عدوى MRSA؛ عدوى VRE؛ الالتهاب الرئوي المكتسب بالمستشفى أبيض بيضاوي قلة الصفيحات؛ غثيان؛ إسهال؛ صداع؛ اعتلال العصب البصري (استخدام مطول) الاستخدام المتزامن لمثبطات MAO؛ ارتفاع ضغط الدم غير المسيطر عليه؛ ورم القواتم؛ متلازمة الكارسينويد,لينيزوليد,لينيزوليد,مضاد حيوي أوكسازوليدينون,قرص,أبيض,بيضاوي,عدوى MRSA؛ عدوى VRE؛ الالتهاب الرئوي المكتسب بالمستشفى,Prescription,Thrombocytopenia; Nausea; Diarrhea; Headache; Optic neuropathy (prolonged use),قلة الصفيحات؛ غثيان؛ إسهال؛ صداع؛ اعتلال العصب البصري (استخدام مطول),Concurrent MAOIs; Uncontrolled hypertension; Pheochromocytoma; Carcinoid syndrome,الاستخدام المتزامن لمثبطات MAO؛ ارتفاع ضغط الدم غير المسيطر عليه؛ ورم القواتم؛ متلازمة الكارسينويد
